# particle, pdgcode, charge
#
#LEPTONS
Λ 3122 0
Σ+ 3222 1
Σ0 3212 0
Σ− 3112 -1
Σ∗+ 3224 1
Σ∗0 3214 0
Σ∗− 3114 -1
Ξ0 3322 0
Ξ− 3312 -1
Ξ∗0 3324 0
Ξ∗− 3314 -1
Ω− 3334 -1
#
#CHARMED BARYONS
Λ+c 4122 1
Σ++c 4222 2
Σ+c 4212 1
Σ0c 4112 0
Σ∗++c 4224 2
Σ∗+c 4214 1
Σ∗0c 4114 0
Ξ+c 4232 1
Ξ0c 4132 0
Ξ+c 4322 1
Ξ0c 4312 0
Ξ∗+c 4324 1
Ξ∗0c 4314 0
Ω0c 4332 0
Ω∗0c 4334 0
Ξ+cc 4412 1
Ξ++cc 4422 2
Ξ∗+cc 4414 1
Ξ∗++cc 4424 2
Ω+cc 4432 1
Ω∗+cc 4434 1
Ω++ccc 4444 2
#
#PENTAQUARKS
Θ+ 9221132 1
Φ−− 9331122 -2
#
#BOTTOM BARYONS
Λ0b 5122 0
Σ−b 5112 -1
Σ0b 5212 0
Σ+b 5222 1
Σ∗−b 5114 -1
Σ∗0b 5214 0
Σ∗+b 5224 1
Ξ−b 5132 -1
Ξ0b 5232 0
Ξ−b 5312 -1
Ξ0b 5322 0
Ξ∗−b 5314 -1
Ξ∗0b 5324 0
Ω−b 5332 -1
Ω∗−b 5334 -1
Ξ0bc 5142 0
Ξ+bc 5242 1
Ξ0bc 5412 0
Ξ+bc 5422 1
Ξ∗0bc 5414 0
Ξ∗+bc 5424 1
Ω0bc 5342 0
Ω0bc 5432 0
Ω∗0bc 5434 0
Ω+bcc 5442 1
Ω∗+bcc 5444 1
Ξ−bb 5512 -1
Ξ0bb 5522 0
Ξ∗−bb 5514 -1
Ξ∗0bb 5524 0
Ω−bb 5532 -1
Ω∗−bb 5534 -1
Ω0bbc 5542 0
Ω∗0bbc 5544 0
Ω−bbb 5554 -1
